"Name","training_start_time","num_transformations","num_replacements","out_of_style_prob","State","Notes","User","Tags","Created","Runtime","augmentation_seed","batch_size","d_model","dataset_processed_time","dim_forward","dropout","epochs","grad_clip","hit_sigmoid_in_forward","learning_rate","loss_penalty","n_heads","n_layers","seed_examples_sets","test_data_size","torch_seed","training_data_size","epoch","grad_norm","hit_accuracy","hits_loss","offsets_loss","test_loss","training_loss","training_sample","velocities_loss"
"solar-music-154","1715991621","1","3","0.5","finished","-","","","2024-05-18T00:20:22.000Z","2969","42","16","128","1715991554","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4126","42","34074","50","3.020742177963257","0.9207520484924316","0.7357648611068726","0.009919228963553904","3.493490490802498","0.8979049921035767","32768","0.15222090482711792"
"jumping-aardvark-153","1715985614","3","3","0","finished","-","","","2024-05-17T22:40:14.000Z","7671","42","16","128","1715985488","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","8103","42","65342","50","2.5147502422332764","0.9419904947280884","0.6823608875274658","0.012662808410823343","3.3884907812761837","0.7925915122032166","61440","0.09756780415773392"
"cosmic-plasma-152","1715985533","2","3","0.5","finished","-","","","2024-05-17T22:38:54.000Z","6019","42","16","128","1715985436","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","1.7987843751907349","0.9295600652694702","0.4458688199520111","0.010284466668963432","3.4502277123622407","0.5531976819038391","49152","0.09704440832138062"
"logical-spaceship-151","1715985229","2","3","0","finished","-","","","2024-05-17T22:33:50.000Z","3631","42","16","128","1715985088","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","50746","50","1.6381458044052124","0.9359263777732848","0.34104740619659424","0.009031057357788086","3.4192960885854866","0.4194623529911041","49152","0.0693838819861412"
"pretty-dew-150","1715981628","2","3","1","finished","-","","","2024-05-17T21:33:49.000Z","3458","42","16","128","1715981556","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6225","42","51111","50","2.761352062225342","0.9303463101387024","0.41926053166389465","0.007772509939968586","3.445772454677484","0.5181006789207458","49152","0.09106763452291489"
"absurd-violet-149","1715981608","1","3","0","finished","-","","","2024-05-17T21:33:30.000Z","3876","42","16","128","1715981542","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4150","42","34074","50","3.32019567489624","0.914711892604828","0.6385892033576965","0.007506644353270531","3.517603095678183","0.7749518752098083","32768","0.12885597348213196"
"expert-bush-148","1715981599","1","3","1","finished","-","","","2024-05-17T21:33:21.000Z","3833","42","16","128","1715981529","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4110","42","33781","50","2.4762966632843018","0.9220590591430664","0.4796054363250733","0.004444459918886423","3.4876830151108917","0.5339241027832031","32768","0.0498742051422596"
"morning-cosmos-146","1712669090","3","2","0","finished","-","","","2024-04-09T13:24:50.000Z","4403","42","16","128","1712669007","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","8021","42","65967","50","1.7995444536209106","0.9203774929046632","0.6468638181686401","0.01426694542169571","3.481866743935057","0.7867526412010193","65536","0.12562185525894165"
"noble-fire-145","1712666814","1","1","1","finished","-","","","2024-04-09T12:46:54.000Z","2451","42","16","128","1712666773","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4101","42","33332","50","1.7875542640686035","0.9052535891532898","0.47636157274246216","0.014939505606889725","3.5605374588576737","0.5790799856185913","32768","0.08777892589569092"
"olive-water-144","1712666535","1","2","0","finished","-","","","2024-04-09T12:42:15.000Z","2471","42","16","128","1712666494","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4089","42","33460","50","1.7822415828704834","0.9103935956954956","0.49513402581214905","0.011226067319512367","3.537416444160044","0.5522636771202087","32768","0.04590357840061188"
"volcanic-dawn-143","1712664493","3","1","0.5","finished","-","","","2024-04-09T12:08:13.000Z","4809","42","16","128","1712664411","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","8006","42","65580","50","3.01328444480896","0.9068014025688172","0.999682366847992","0.018256764858961105","3.5472984927856994","1.1647775173187256","65536","0.14683836698532104"
"tough-brook-142","1712662824","2","1","0","finished","-","","","2024-04-09T11:40:24.000Z","3668","42","16","128","1712662763","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6018","42","49465","50","2.9026894569396973","0.9062309861183168","0.7928260564804077","0.031893711537122726","3.5497266911069025","0.9243610501289368","49152","0.09964127093553544"
"snowy-terrain-141","1712661935","3","1","1","finished","-","","","2024-04-09T11:25:35.000Z","4837","42","16","128","1712661853","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","8127","42","65478","50","2.051348924636841","0.9143854379653932","0.9208406805992126","0.027088504284620285","3.5091697090254055","1.0592132806777954","61440","0.1112840697169304"
"twilight-mountain-140","1712661867","1","1","0.5","finished","-","","","2024-04-09T11:24:27.000Z","2543","42","16","128","1712661826","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4073","42","33372","50","2.3260536193847656","0.8916292190551758","0.9483364820480348","0.021956931799650192","3.619281612658033","1.1082178354263306","32768","0.137924462556839"
"dutiful-sponge-139","1712659064","2","2","0","finished","-","","","2024-04-09T10:37:44.000Z","3693","42","16","128","1712659002","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6025","42","49737","50","2.209571123123169","0.91692054271698","0.6121830940246582","0.013201428577303886","3.502880990030911","0.7000877261161804","49152","0.07470320165157318"
"efficient-snow-138","1712658003","2","2","1","finished","-","","","2024-04-09T10:20:03.000Z","3848","42","16","128","1712657940","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6142","42","49824","50","1.7217631340026855","0.9108920693397522","0.6665878295898438","0.012299253605306149","3.528539284442862","0.8084415793418884","49152","0.12955453991889954"
"dashing-terrain-137","1712657947","2","2","0.5","finished","-","","","2024-04-09T10:19:07.000Z","3873","42","16","128","1712657884","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6129","42","49752","50","9.26694393157959","0.9204242825508118","1.261069416999817","0.015051227062940598","3.4833524444450936","1.410460114479065","49152","0.13433943688869476"
"misunderstood-glade-136","1712655477","1","4","1","finished","-","","","2024-04-09T09:37:57.000Z","2462","42","16","128","1712655434","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4068","42","33600","50","6.46042537689209","0.927150547504425","0.51637864112854","0.0054437508806586266","3.4654302671843884","0.5943496823310852","32768","0.07252725958824158"
